Message Body,Label
garansi keyboard ya?,umum_teknis
pc nye sampai mana ke?,tanya_status
bang ganti ya,setuju
saye ndak usah lok,batal
min oke sih,setuju
kenapa ram sik?,umum_teknis
bang batal lok,batal
tutup jam leptop,umum_teknis
saye cancel dulu,batal
sampai mana bg?,tanya_status
bang sampai mana lom?,tanya_status
jak lanjut sih,setuju
sikat  sih,setuju
progress leptopnye belum?,tanya_status
okee min ndak pe,setuju
gas,setuju
min gausah bg,batal
udah jadi hari ini?,tanya_status
servisnye kapan selesai lom?,tanya_status
cancel saye uangnye kepake,batal
tunda min bg,batal
bang kapan selesai,tanya_status
kapan selesai leptopnye lom?,tanya_status
kamek cancel bg,batal
jak kerjakan lok,setuju
gas pc nye bang,setuju
gimana  belum?,tanya_status
kamek ndak usah bg,batal
tunda saye bg,batal
sik usah saye duitnye tadak,batal
gak jadi min duitnye tadak,batal
udah idup lom?,tanya_status
bisa diambil  lom?,tanya_status
udah jadi bang ke?,tanya_status
sik jadi  bg,batal
gak jadi bang kemahalan,batal
gak jadi saye uangnye kepake,batal
proses bang bang,setuju
cancel saye kemahalan,batal
udah kelar servisnye,tanya_status
min tutup jam sik?,umum_teknis
jak gas jak bang,setuju
bisa nego ram sik?,umum_teknis
ga jadi  lok,batal
ram bisa nego ndak?,umum_teknis
gak jadi kamek bg,batal
kamek batal,batal
okey bang bang,setuju
proses jak lok,setuju
leptopnye sikat ya,setuju
servisnye udah jadi,tanya_status
berapak biaye leptop bg?,umum_teknis
ndak jadi  lok,batal
oke jak ndak pe,setuju
ram kenapa bang?,umum_teknis
kamek sik usah,batal
toko buka jam ya?,umum_teknis
buka jam ram ya?,umum_teknis
buka jam bang?,umum_teknis
servisnye sik jadi uangnye kepake,batal
servisnye ndak jadi dulu,batal
leptopnye setuju lok,setuju
pc nye ganti bang,setuju
gas min sih,setuju
okey bang,setuju
garansi keyboard bg?,umum_teknis
sip pc nye ndak pe,setuju
ga jadi bang lok,batal
servisnye gak usah kemahalan,batal
tunda min kemahalan,batal
sik usah kamek kemahalan,batal
kerjakan bg jak bang,setuju
ssd bisa nego ndak?,umum_teknis
lanjut  jak bang,setuju
bg sip ndak pe,setuju
gausah lok,batal
bang ok ndak pe,setuju
bg okee jak bang,setuju
garansi bang ya?,umum_teknis
servisnye kapan selesai ke?,tanya_status
buka jam leptop bg?,umum_teknis
sip pc nye,setuju
pc nye kapan selesai bg?,tanya_status
gas leptopnye bang,setuju
batal bg,batal
leptop berapak biaye bg?,umum_teknis
berapak biaye ssd ndak?,umum_teknis
kerjakan  lok,setuju
bisa nego min ndak?,umum_teknis
udah selesai leptopnye belum?,tanya_status
