text,intent,source,clean_text
Iya.,setuju,real,iya
Udah yaa bg,setuju,real,udah yaa bg
Ok malam mngkn sy ksna ambil,batal,real,ok malam mngkn sy ksna ambil
"ini saya yang kemarin malam datang yang masalah kursor delay, emng kalau habis di update untuk tingkat kecerahan layar hilang ya kak",batal,real,ini saya yang kemarin malam datang yang masalah kursor delay emng kalau habis di update untuk tingkat kecerahan layar hilang ya kak
"Okee bang, bentar lg ambil",batal,real,okee bang bentar lg ambil
yg hitam tu bagian kanan nd bs kah bang,lainnya,real,yg hitam tu bagian kanan nd bs kah bang
Kira Kira minggu udh bisa di ambil engak bang?,lainnya,real,kira kira minggu udh bisa di ambil engak bang
okey bg bntr lagi otw,batal,real,okey bg bntr lagi otw
okey bang maaf ya bang,lainnya,real,okey bang maaf ya bang
Kalau pake windows 11 masih nda die ye bang,lainnya,real,kalau pake windows 11 masih nda die ye bang
besok saya ambil ya bang,setuju,real,besok saya ambil ya bang
ok sya kasi tau orng nya dlu ya,lainnya,real,ok sya kasi tau orng nya dlu ya
Berapa biayanya ya bang,lainnya,real,berapa biayanya ya bang
nanti sore saya ambil laptop nya,batal,real,nanti sore saya ambil laptop nya
Ok otw,batal,real,ok otw
Pagi. Apa sdh selesai.,lainnya,real,pagi apa sdh selesai
"Nah itu, saya pun bingung bang kenapa malah keyboard nya jadi bermasalah, padahal sebelumnya nda pernah ada masalah",lainnya,real,nah itu saya pun bingung bang kenapa malah keyboard nya jadi bermasalah padahal sebelumnya nda pernah ada masalah
Untk leptop Advan cuma itu aja ke bg perbaikannya?,lainnya,real,untk leptop advan cuma itu aja ke bg perbaikannya
"Anda belum memiliki aplikasi myIM3 untuk mengaktifkan perlindungan Anti Spam dan Scam dari SATSPAM+. Harap mendownload aplikasi myIM3 untuk mengaktifkan layanan, tanpa biaya apapun.",lainnya,real,anda belum memiliki aplikasi myim3 untuk mengaktifkan perlindungan anti spam dan scam dari satspam harap mendownload aplikasi myim3 untuk mengaktifkan layanan tanpa biaya apapun
"Yg abg blg kmren kalau lptop sy bnyak karatanny, gmn tu bng ?
Aman k kalo udh ganti mesinnya?",batal,real,"yg abg blg kmren kalau lptop sy bnyak karatanny gmn tu bng 
aman k kalo udh ganti mesinnya"
Ohhh iyaa lahh bang,setuju,real,ohhh iyaa lahh bang
sihap,lainnya,real,sihap
"maaf bang br lihat, kalo ganti hard disk aja gimana bang",lainnya,real,maaf bang br lihat kalo ganti hard disk aja gimana bang
"Untuk perbaikannya, touchpad ya Bg?? Atau ada yg perlu diperbaiki lagi?",lainnya,real,untuk perbaikannya touchpad ya bg atau ada yg perlu diperbaiki lagi
permisi kak,lainnya,real,permisi kak
Knp bang,lainnya,real,knp bang
nnti sy ambil laptop ny y,batal,real,nnti sy ambil laptop ny y
Insyaallah malm sy ambil nya bang,batal,real,insyaallah malm sy ambil nya bang
Bang ko labtob nya ga hidup??,lainnya,real,bang ko labtob nya ga hidup
Oky makasih bang ya,lainnya,real,oky makasih bang ya
