text,intent
okeh,setuju
"Sikat jak bang, tpi saye nak nunggu disitok bise ke?",setuju
Batal jak bang,batal
"Tunda lok pak, nnti mun ade rezeki saye balek agik",batal
Hargenye bise turun sikit ndak min?,lainnya
Bang mun nak betolkan laptop kire-kire sampai jam berape?,lainnya
boleh kak,setuju
"Sikat jak bang, tpi saye nak nunggu disitok bise ke?",setuju
gk jd,batal
"Aduh duit saye tak cukop bg, ambek lok lah nnti",batal
Nda bise kurang hargenye tu bang?,lainnya
Kak lokasi pastinya di belah mane ye?,lainnya
Lanjut pak,setuju
"Gass bah min, cepatkan sikit ye soale saye nak ujian",setuju
Batal,batal
nd usah bang. agek butuh makai banyak duet,batal
Nd bise kurang ke bang hargenye tu?,lainnya
Bg nnti malam bukak ndak?,lainnya
lanjut bg,setuju
okeyy bg,setuju
batal,batal
"Maaf bg, saye ambek jak laptopnye, belom ade duit",batal
"800, bisa nd bang",lainnya
"Bg, nnti info jam berape bise diambil ye.",lainnya
Boleh bg,setuju
"Gass bg, asalkan betol-betol bagus lepas diperbaiki",setuju
Batal,batal
"Lewat lok bang, nunggu gajian bulan depan baru bise",batal
Bise nego ndak tu kak?,lainnya
kira-kira udahnya berapa lama ni kak?,lainnya
Okey,setuju
"Kerjekan jak pak, minta tolong dibersihkan debunye sekalian",setuju
daan jadi bg,batal
"Ndak bise diteruskan bang, kamek belom gajian",batal
Bise tawar ndak bang hargenye?,lainnya
Sampai jam berape biase selese tu?,lainnya
lanjut bg,setuju
"Aok min, kerjekan jak lok. Tpi jangan diinstal ulang ye datanye",setuju
ga jadi deh kak,batal
"Macam ndak mampu kamek bayarnye bg, pass dolo",batal
Ndak bise turun ke hargenye bang?,lainnya
Jam 9 malam maseh bukak ke pak?,lainnya
Boleh bg,setuju
"Kerjekan jak pak, minta tolong dibersihkan debunye sekalian",setuju
"Halo, sepertinya saya mau ambil dulu aja brg nya",batal
"Lewat lok bang, nunggu gajian bulan depan baru bise",batal
Bise nego ndak tu kak?,lainnya
"Kalo misalnye besok, jam berape selesenye bang?",lainnya
Setuju,setuju
"Aok bang, tolong cepatkan jak bah soale nak dipakai begawe",setuju
Tidak jadi,batal
"Gak usah di benerin aja kak, besok saya ambil laptop nya",batal
Bise kureng ke bg hargenye tu?,lainnya
