text,label_aktual
oke bang lanjut aja,setuju
stju bg kerjain,setuju
ok gas,setuju
iya sepakat,setuju
baik kak lanjutkan perbaikan,setuju
lnjut kyak biasa,setuju
oke siap,setuju
sikat jak bang,setuju
setuju bang ganti aja,setuju
lanjot min,setuju
batal bang kemahalan,batal
cancel aja min,batal
ndak jadi bg,batal
cencel yak,batal
btal dlu,batal
ga jadi deh bang,batal
skip aja nnt kapan2,batal
urung bang,batal
batalin aja ga cukup duit,batal
ga usah dilanjut,batal
buka sampe jam berapa bang,lainnya
garansinya berapa lama ya,lainnya
kalo ganti ssd datanya ilang ga,lainnya
layarnya kedap kedip itu knp ya,lainnya
posisi toko di sebelah mana,lainnya
bisa cicil pake paylater ngga,lainnya
kemaren kan udah dibenerin kok mati lagi,lainnya
tutup jam berapa hari ini,lainnya
bang jual charger laptop asus ga,lainnya
ini adminnya cowok apa cewek,lainnya
batal,batal
